City,Station,Last Update,Latitude,Longitude,Pollutant ID,Pollutant Min,Pollutant Max,Pollutant Avg
Delhi,"Alipur, Delhi - DPCC",09-07-2025 18:00:00,28.815329,77.15301,PM2.5,2,63,32
Delhi,"Alipur, Delhi - DPCC",09-07-2025 18:00:00,28.815329,77.15301,NH3,13,16,14
Delhi,"Alipur, Delhi - DPCC",09-07-2025 18:00:00,28.815329,77.15301,SO2,3,10,6
Delhi,"Anand Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.647622,77.315809,PM10,20,144,107
Delhi,"Ashok Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.695381,77.181665,OZONE,15,90,62
Delhi,"CRRI Mathura Road, Delhi - IMD",09-07-2025 18:00:00,28.5512005,77.2735737,OZONE,8,85,52
Delhi,"Chandni Chowk, Delhi - IITM",09-07-2025 18:00:00,28.656756,77.227234,PM10,38,132,80
Delhi,"Chandni Chowk, Delhi - IITM",09-07-2025 18:00:00,28.656756,77.227234,SO2,13,27,19
Delhi,"DTU, Delhi - CPCB",09-07-2025 18:00:00,28.7500499,77.1112615,OZONE,29,36,32
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",09-07-2025 18:00:00,28.498571,77.26484,OZONE,17,65,49
Delhi,"Dwarka-Sector 8, Delhi - DPCC ",09-07-2025 18:00:00,28.5710274,77.0719006,SO2,16,19,17
Delhi,"Dwarka-Sector 8, Delhi - DPCC ",09-07-2025 18:00:00,28.5710274,77.0719006,OZONE,11,58,43
Delhi,"ITO, Delhi - CPCB",09-07-2025 18:00:00,28.628624,77.24106,CO,35,83,53
Delhi,"ITO, Delhi - CPCB",09-07-2025 18:00:00,28.628624,77.24106,OZONE,15,20,18
Delhi,"Jahangirpuri, Delhi - DPCC",09-07-2025 18:00:00,28.73282,77.170633,PM2.5,5,130,57
Delhi,"Jahangirpuri, Delhi - DPCC",09-07-2025 18:00:00,28.73282,77.170633,NH3,10,12,11
Delhi,"Alipur, Delhi - DPCC",09-07-2025 18:00:00,28.815329,77.15301,NO2,17,38,25
Delhi,"Anand Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.647622,77.315809,NH3,3,15,9
Delhi,"Anand Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.647622,77.315809,OZONE,1,21,10
Delhi,"Ashok Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.695381,77.181665,CO,49,100,65
Delhi,"Aya Nagar, Delhi - IMD",09-07-2025 18:00:00,28.4706914,77.1099364,PM10,10,143,62
Delhi,"Bawana, Delhi - DPCC",09-07-2025 18:00:00,28.7762,77.051074,PM10,7,146,56
Delhi,"Bawana, Delhi - DPCC",09-07-2025 18:00:00,28.7762,77.051074,SO2,4,7,5
Delhi,"Burari Crossing, Delhi - IMD",09-07-2025 18:00:00,28.7256504,77.2011573,PM2.5,9,75,36
Delhi,"Burari Crossing, Delhi - IMD",09-07-2025 18:00:00,28.7256504,77.2011573,NO2,30,53,41
Delhi,"Chandni Chowk, Delhi - IITM",09-07-2025 18:00:00,28.656756,77.227234,NH3,11,17,13
Delhi,"Chandni Chowk, Delhi - IITM",09-07-2025 18:00:00,28.656756,77.227234,CO,38,64,42
Delhi,"DTU, Delhi - CPCB",09-07-2025 18:00:00,28.7500499,77.1112615,NH3,9,13,11
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",09-07-2025 18:00:00,28.498571,77.26484,PM10,11,109,59
Delhi,"Dwarka-Sector 8, Delhi - DPCC ",09-07-2025 18:00:00,28.5710274,77.0719006,PM2.5,2,67,39
Delhi,"Dwarka-Sector 8, Delhi - DPCC ",09-07-2025 18:00:00,28.5710274,77.0719006,CO,19,101,52
Delhi,"ITO, Delhi - CPCB",09-07-2025 18:00:00,28.628624,77.24106,PM10,7,90,45
Delhi,"ITO, Delhi - CPCB",09-07-2025 18:00:00,28.628624,77.24106,NH3,4,6,5
Delhi,"Jahangirpuri, Delhi - DPCC",09-07-2025 18:00:00,28.73282,77.170633,NO2,14,34,24
Delhi,"Alipur, Delhi - DPCC",09-07-2025 18:00:00,28.815329,77.15301,PM10,9,99,51
Delhi,"Anand Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.647622,77.315809,CO,28,67,51
Delhi,"Ashok Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.695381,77.181665,PM10,11,133,71
Delhi,"Ashok Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.695381,77.181665,NH3,7,12,8
Delhi,"Aya Nagar, Delhi - IMD",09-07-2025 18:00:00,28.4706914,77.1099364,PM2.5,2,86,31
Delhi,"Bawana, Delhi - DPCC",09-07-2025 18:00:00,28.7762,77.051074,NH3,5,10,7
Delhi,"Bawana, Delhi - DPCC",09-07-2025 18:00:00,28.7762,77.051074,OZONE,5,23,15
Delhi,"Burari Crossing, Delhi - IMD",09-07-2025 18:00:00,28.7256504,77.2011573,PM10,11,111,55
Delhi,"Chandni Chowk, Delhi - IITM",09-07-2025 18:00:00,28.656756,77.227234,PM2.5,47,169,98
Delhi,"DTU, Delhi - CPCB",09-07-2025 18:00:00,28.7500499,77.1112615,SO2,41,61,49
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",09-07-2025 18:00:00,28.498571,77.26484,PM2.5,2,60,25
Delhi,"Dwarka-Sector 8, Delhi - DPCC ",09-07-2025 18:00:00,28.5710274,77.0719006,NH3,5,12,8
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",09-07-2025 18:00:00,28.6811736,77.3025234,PM2.5,33,94,48
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",09-07-2025 18:00:00,28.6811736,77.3025234,SO2,9,11,10
Delhi,"ITO, Delhi - CPCB",09-07-2025 18:00:00,28.628624,77.24106,PM2.5,9,120,57
Delhi,"ITO, Delhi - CPCB",09-07-2025 18:00:00,28.628624,77.24106,SO2,6,25,20
Delhi,"Jahangirpuri, Delhi - DPCC",09-07-2025 18:00:00,28.73282,77.170633,PM10,14,223,118
Delhi,"Jahangirpuri, Delhi - DPCC",09-07-2025 18:00:00,28.73282,77.170633,OZONE,13,34,20
Delhi,"Alipur, Delhi - DPCC",09-07-2025 18:00:00,28.815329,77.15301,OZONE,17,48,35
Delhi,"Anand Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.647622,77.315809,PM2.5,5,100,52
Delhi,"Anand Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.647622,77.315809,NO2,34,115,61
Delhi,"Ashok Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.695381,77.181665,NO2,12,84,27
Delhi,"Ashok Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.695381,77.181665,SO2,10,20,14
